Antibiotic,Source,Taxa,R,I,S
AMP,Fly,EC,5,12,49
CHL,Fly,EC,2,0,64
CEF,Fly,EC,1,1,64
CF,Fly,EC,11,23,32
GEN,Fly,EC,0,0,66
TET,Fly,EC,7,0,59
AMP,Manure,EC,4,1,41
CHL,Manure,EC,3,0,43
CEF,Manure,EC,0,1,45
CF,Manure,EC,5,24,17
GEN,Manure,EC,0,0,46
TET,Manure,EC,3,0,43
AMP,Fly,Kleb,54,0,2
CHL,Fly,Kleb,0,0,56
CEF,Fly,Kleb,1,0,55
CF,Fly,Kleb,3,1,52
GEN,Fly,Kleb,0,0,56
TET,Fly,Kleb,0,0,56
AMP,Manure,Kleb,31,1,1
CHL,Manure,Kleb,1,0,32
CEF,Manure,Kleb,1,1,31
CF,Manure,Kleb,4,0,29
GEN,Manure,Kleb,0,0,33
TET,Manure,Kleb,5,0,28
AMP,Fly,Other,168,22,79
CHL,Fly,Other,2,4,263
CEF,Fly,Other,3,2,264
CF,Fly,Other,118,12,139
GEN,Fly,Other,0,3,266
TET,Fly,Other,11,8,250
AMP,Manure,Other,9,0,14
CHL,Manure,Other,3,0,20
CEF,Manure,Other,2,1,20
CF,Manure,Other,5,5,13
GEN,Manure,Other,2,0,21
TET,Manure,Other,4,1,18
CHL,Fly,Staph,1,3,211
FOX,Fly,Staph,20,0,195
CEF,Fly,Staph,2,3,210
GEN,Fly,Staph,1,0,214
PIR,Fly,Staph,5,0,210
TET,Fly,Staph,42,0,173
CHL,Manure,Staph,0,0,78
FOX,Manure,Staph,11,0,67
CEF,Manure,Staph,1,2,75
GEN,Manure,Staph,0,0,78
PIR,Manure,Staph,7,0,71
TET,Manure,Staph,16,0,62
